name,type,displayName,pipLocation,marginRate,minimumTradeSize,maximumOrderUnits,maximumPositionSize,maximumTrailingStopDistance,minimumTrailingStopDistance,maximumDistance,minimumDistance,minimumPriceVariation
EUR_CAD,CURRENCY,EUR/CAD,-4,0.03333333333333,1,100000000,0,1.00000,0.00050,,,
NATGAS_USD,CFD,Natural Gas,-2,0.10,1,1000000,0,100.000,0.050,,,
FR40_EUR,CFD,France 40,0,0.05,0.1,1000,0,10000.0,5.0,,,
DE10YB_EUR,CFD,Bund,-2,0.20,1,150000,0,100.000,0.050,,,
CHF_ZAR,CURRENCY,CHF/ZAR,-4,0.05,1,100000000,0,1.00000,0.00050,,,
USD_DKK,CURRENCY,USD/DKK,-4,0.05,1,100000000,0,1.00000,0.00050,,,
NAS100_USD,CFD,US Nas 100,0,0.05,0.1,2000,0,10000.0,5.0,,,
XAU_CAD,METAL,Gold/CAD,-2,0.05,0.1,20000,0,100.000,0.050,,,
XPD_USD,CFD,Palladium,-2,0.10,1,5000,0,100.000,0.050,,,
EUR_HUF,CURRENCY,EUR/HUF,-2,0.05,1,100000000,0,100.000,0.050,,,
XPT_USD,CFD,Platinum,-2,0.10,1,5000,0,100.000,0.050,,,
XAU_AUD,METAL,Gold/AUD,-2,0.05,0.1,20000,0,100.000,0.050,,,
CORN_USD,CFD,Corn,-2,0.10,1,1500000,0,100.000,0.050,,,
XAU_EUR,METAL,Gold/EUR,-2,0.05,0.1,20000,0,100.000,0.050,,,
CHINAH_HKD,CFD,China H Shares,0,0.1,0.1,500,0,10000.0,5.0,,,
NL25_EUR,CFD,Netherlands 25,-2,0.10,0.1,12000,0,100.000,0.050,,,
EUR_CHF,CURRENCY,EUR/CHF,-4,0.04,1,100000000,0,1.00000,0.00050,,,
EUR_DKK,CURRENCY,EUR/DKK,-4,0.1,1,100000000,0,1.00000,0.00050,,,
SOYBN_USD,CFD,Soybeans,-2,0.10,1,600000,0,100.000,0.050,,,
EUR_USD,CURRENCY,EUR/USD,-4,0.03333333333333,1,100000000,0,1.00000,0.00050,,,
SG30_SGD,CFD,Singapore 30,-1,0.10,0.1,2000,0,1000.00,0.50,,,
AU200_AUD,CFD,Australia 200,0,0.05,0.1,1250,0,10000.0,5.0,,,
XAG_CAD,METAL,Silver/CAD,-4,0.10,1,500000,0,1.00000,0.00050,,,
JP225_USD,CFD,Japan 225,0,0.05,0.1,750,0,10000.0,5.0,,,
XAG_SGD,METAL,Silver/SGD,-4,0.10,1,500000,0,1.00000,0.00050,,,
EUR_CZK,CURRENCY,EUR/CZK,-4,0.05,1,100000000,0,1.00000,0.00050,,,
XAG_USD,METAL,Silver,-4,0.10,1,500000,0,1.00000,0.00050,,,
NZD_CAD,CURRENCY,NZD/CAD,-4,0.05,1,100000000,0,1.00000,0.00050,,,
